Text,Predicted_Sentiment
stock radar nuvama wealth torrent pharma piramal enterprise railtel corporation focus friday,Positive
sebi working dozen ai project enhance efficiency process say madhabi puri buch,Positive
bulk deal icici prudential mf buy 225 stake amrutanjan health care,Positive
diis net bought share worth r 2405 crore,Positive
live nifty hit new high top 26200 expiry day midcaps bleed 2nd day closing bell,Positive
gainer loser 10 stock moved september 26,Positive
taking stock nifty close 26200 monthly fo expiry day sensex jump 666 pt,Positive
swan energy share price surge heavy volume multibagger stock 100 year,Positive
vijay kedia backed affordable robotic automation 9 nse nod mainboard migration,Positive
itc share hit record high marketcap move past r 65 lakh crore first time,Positive
buy cam target r 5100 motilal oswal,Positive
buy radico khaitan target r 2489 sharekhan,Positive
buy bajaj finserv target r 2350 sharekhan,Positive
samvardhana motherson stock hit record high amid heavy volume,Positive
large trade paytm share r 328crore equity stake change hand stock jump 3,Positive
stock surged 630 one year analyst still bullish outlookâ â,Positive
buy bajaj finance target r 9940 sharekhan,Positive
prism johnson share skyrocket 15 heavy volume stock 30 ytd,Positive
iex share bounce back 4 twoday fall investec initiate long fast,Positive
tata motor share rise 2 jlrâs âł500 million electric suv investment plan,Positive
easy trip planner stock bounce back 3day fall surge 7,Positive
mukta art stock zoom 18 52week subhash ghaiâs firm ink deal zee entertainment,Positive
gensol engg stock snap 9day losing streak zoom 8 promoter hike stake,Positive
tax filing complexity forcing hnis ditch pm opt aif,Positive
hold deepak nitrite target r 2596 cd equisearch,Positive
hold metro brand target r 1268 prabhudas lilladher,Positive
neutral nocil target r 305 motilal oswal,Positive
subscribe diffusion engineer ltd kr choksey,Positive
krsnaa diagnostics share soar 4 plan acquire 2353 stake apulki healthcare,Positive
prestige estate share gain launching residential project bengaluru,Positive
subscribe diffusion engineer ltd anand rathi,Positive
spicejet stock edge even carlyle aviation offloads 14 stake,Positive
kalana ispat share list 32 discount ipo price nse sme,Positive
mr bectors food speciality remain bullish company,Negative
hero motocorp share slip 2 ubs reiterates sell see 45 downside,Negative
ola electric mobility share 3 hsbc maintains buy see 36 upside,Positive
nifty scale 26k â time book gain stay put,Positive
trent share rise 3 citi initiate buy forecast 21 upside,Positive
five star business finance block deal equity worth r 203460 cr sold peak xv pe investor likely offload 112 stake,Positive
agri pick report september 26 2024 geojit financial service,Negative
hdfc bank loan growth may slow 10 macquarie bullish set r 1900 share price target,Positive
pb fintech slump 8 even policybazaar parent eye healthcare sector multibagger zoom 130 year,Positive
short call cement conundrum housing construction setback valuation donât add power grid piramal pharma focus,Negative
zaggle prepaid share gain 6 acquisition 98 stake service company,Negative
investor love power grid despite slower growth profile,Positive
tpg asia peak xv partner offload five star business finance share r 4300crore block deal today,Positive
first tick top 10 global cue todayâs trade,Positive
closing bell nifty cross 26200 expiry day sensex rise 666 pt led auto metal,Positive
trade spotlight trade axis bank power grid petronet lng godrej property others thursday,Positive
stock radar vedanta infosys ask automotive five star finance pb fintech kpr mill focus thursday,Positive
fiis net sell share worth r 974 crore diis net buy r 1779 crore,Positive
nifty revers course hit new high last half hour bank recover day low closing bell,Positive
pevcs rush get lucrative exit ipo market trade record high level,Negative
taking stock nifty close 26000 first time sensex gain 256 pt,Positive
gainer loser 10 stock moved september 25,Positive
exxaro tile stock extend gain 28 two day stock split buzz,Positive
buy piramal pharma target r 260 motilal oswal,Positive
buy gravita india target r 2900 motilal oswal,Positive
iex share extend loss fo trading ban potential market coupling implementation fy25,Positive
ntpc share rise hit alltime high goldman sachs remains bullish,Positive
hdfc bank gain hsbc upgrade target price see 12 potential upside,Positive
spicejet share tumble 7 even cmd ajay singh try allay concern,Positive
subscribe krn heat exchanger refrigeration ltd anand rathi,Positive
neutral sbi card target r 850 motilal oswal,Positive
buy affle india target r 1820 sharekhan,Positive
subscribe krn heat exchanger refrigeration ltd kr choksey,Positive
zee medium stock skyrocket 13 board consider fundraising option sept 27,Positive
waaree energy ipo likely launched midoctober need know,Positive
paramount speciality forging list 40 premium ipo price nse sme,Positive
solar industry gain 2 securing nclts nod unit merger rajasthan explosive,Positive
ola electric share rise 3 bernstein highlight robust growth prospect,Positive
mcx stock rise transaction fee revision fo contract morgan stanley maintains underperform rating,Positive
rate cut round corner ōćō investor prefer nbfcs bank,Negative
bel share rise macquarie give outperform call see 20 upside,Positive
delta corp stock zoom 8 firm announces demerger hospitality real estate business,Positive
agri pick report september 25 2024 geojit financial service,Negative
ola electric lead e2w market superior margin close profitability bernstein report,Negative
power grid benefit indiaōćös transmission capex supercycle goldman sachs reiterates bullishness,Positive
world street opec demand surge forecast smartsheet buyout visa lawsuit mark zuckerbergōćös wealth rise murdoch family feud,Positive
gillette india share 2 pg bangladesh terminates distribution pact,Positive
hindustan food share 2 merger promoterōćéowned entity,Positive
closing bell sensex 260 pt nifty 26000 led medium power realty,Positive
first tick top 10 global cue todayōćös trade,Positive
stock radar easy trip baazar style retail mcx delta corp apollo sindoori hotel focus wednesday,Positive
trade spotlight trade hdfc life cesc siemens firstsource kpr mill others wednesday,Positive
pc jeweller hold board meet september 30 consider stock split,Positive
bulk deal mirae asset mutual fund 3022 share cartrade tech,Positive
nifty hit 26000 milestone sensex conquers 85000 metal shine china stimulus closing bell,Positive
taking stock market fails hold record high nifty cross 26000 sensex 85000,Positive
gainer loser stock moved september 24,Positive
spurt abrupt resignation statutory auditor point governance issue,Positive
buy united brewery target r 2350 anand rathi,Positive
buy aarti industry target r 675 emkay global financial,Positive
buy gmr power urban infra target r 180 emkay global financial,Positive
held quant mf small cap stock 20 here,Positive
rich individual seek quantbased strategy pm investment,Positive
reduce fusion finance target r 260 emkay global financial,Positive
pnb stock slip 25 qip launched discounted price,Positive
mankind pharma extends winning streak fourth day hit record high,Positive
neutral bharat forge target r 1470 motilal oswal,Positive
buy icici lombard target r 2650 motilal oswal,Positive
buy vedant fashion target r 1600 icici security,Positive
kfc pizza hut operator sapphire food stock surge 12 new high large trade,Positive
hold vodafone idea target r 11 icici security,Positive
sealmatic india stock surge 6 bagging power plant project bhel,Positive
buy pitti engineering target r 1552 kr choksey,Positive
indian utility offer r 40 lakh crore investment opportunity buy power grid tata power motilal oswal,Positive
pelatro ipo share list 375 premium ipo price nse sme,Positive
popular foundation share price hit lower circuit post listing fall 5 ipo price,Negative
metal stock surge upto 5 china announces fresh stimulus bolster economy,Positive
deccan transcon leasing debut 7 premium ipo price nse sme,Positive
envirotech system list 89 premium ipo price nse sme,Positive
osel device make decent debut 24 premium ipo price nse sme,Positive
reliance power stock locked 5 upper circuit r 1525 crore preferential issue,Positive
spandana sphoorty financial share rise 4 sale stressed loan portfolio r 1674 crore,Positive
western carrier muted debut stock list marginally ipo price miss gmp,Positive
gmr power urban hit 5 upper circuit new record high emkay globals buy call,Positive
northern arc capital share list 33 premium bumper ipo bidding miss gmp,Positive
arkade developer debut 37 premium ipo price miss gmp estimate,Positive
gr infraprojects stock jump 4 bagging r 9035 crore contract maha metro nagpur project,Positive
muthoot finance â shine stay,Positive
agri pick report september 24 2024 geojit financial service,Negative
mofsl see subscriber churn key challenge vodafone idea stock,Positive
stay selective stock amid soft management commentary rich valuation jefferies,Positive
coal india stock gain forming jv rrvunl thermal renewable energy project,Positive
first tick top 10 global cue todayâs trade,Positive
ongc videsh ink gas deal azerbaijan morgan stanley see 45 upside,Positive
power grid corporation share gain winning interstate transmission project,Positive
astrazeneca pharma share jump 12 52week high cdsco permission,Positive
closing bell sensex nifty end flat power metal shine psu bank fmcg drag,Positive
stock radar ongc reliance pnb astrazeneca gr infra bgr energy arkade developer coal india focus tuesday,Positive
bulk deal ashish kacholia sell 056 stake sky gold,Negative
trading plan nifty climb psychological 26000 mark bank nifty hit 54500,Positive
trade spotlight trade siemens mankind pharma kotak bank dlf indegene others tuesday,Positive
fiis net buy share worth r 404 crore diis net buy r 1023 crore,Positive
number woman fo trader reduced fy22 fy24 sebi study,Positive
gainer loser 10 stock moved september 23,Positive
taking stock record rally continues nifty close 25900 sensex 384 pt,Positive
reliance power share locked 5 upper circuit multibagger stock zoom 100 year,Positive
skipper share rocket 16 axis initiate coverage buy,Positive
nbcc india share rise 25 r 1261 crore order win,Positive
psp project share rise 5 new order worth r 555 crore,Positive
buy mahindra mahindra financial service target r 380 axis capital,Positive
hind rectifier stock locked 5 upper circuit r 200 crore order indian railway,Positive
hdb finance take coveted title valued nbfc bajaj housing finance,Positive
sc refuse stay linde india valuation probe sat dismisses plea stock jump potential gain,Positive
hold cera sanitaryware target r 8637 icici security,Positive
sbfc finance jump 18 hit new record high icra upgrade outlook stable,Positive
asahi india glass stock soar record high amid heavy volume surge 25 four session,Positive
buy bharat heavy electricals target r 370 icici security,Positive
buy ntpc target r 495 icici security,Positive
subscribe manba finance ltd anand rathi,Positive
buy mahindra mahindra target r 3326 prabhudas lilladher,Positive
samvardhana motherson close qip strong demand raise 771 million,Positive
sodhani academy fintech enablers list 32 premium ipo price bse sme,Positive
short call timing market futile bull run vodafone spicejet hcl focus,Negative
buy jk cement target r 5600 motilal oswal,Positive
spicejet stock zoom 10 carrier raise r 3000 crore via qip goldman societe generale among investor,Positive
buy max healthcare target r 1240 motilal oswal,Positive
mankind pharma jump record high gain 9 two day investecs buy tag,Positive
buy ltimindtree target r 7500 sharekhan,Positive
accumulate itd cementation india target r 758 asit c mehta,Positive
mm share hit alltime high goldman sachs maintains buy robust prospect,Positive
hfcl share jump 5 deal supply critical subsystem general atomics,Positive
spicejet rebound post 4day fall sprint 6 board allots 48 crore share qibs,Positive
indus tower share surge 5 citis buy rating multibagger telco stock 102 ytd,Positive
glenmark pharma stock soar 75 aurangabad unit clear usfda inspection,Positive
chart day asset allocation mutual fund affect return,Positive
adani gas stock soar 6 securing 375 mn funding expand city gas distribution biz,Positive
slowdown urban consumption change preference clsa explains,Positive
kec international share surge 4 new order worth r 1003 crore,Positive
agri pick report september 23 2024 geojit financial service,Negative
fusion finance crash 10 hit 52week low investecs sell downgrade,Negative
investor give manba finance ipo miss,Positive
hdfc bank stock gain board approves hdb financial service proposed ipo,Positive
moneycontrol pro market outlook market shaky ground indicator flash warning,Positive
incred capital initiate add rating ugro capital forecast 36 potential upside,Positive
bhel share gain nearly 2 winning r 6100 cr project ntpc,Positive
aarti drug share trade lower 7 observation usfda,Negative
vodafone idea stock zoom 8 firm ink mega 36 bn deal three global network partner,Positive
world street apollo global may invest 5 bn intel oravel stay acquire g6 hospitality blackstone x complies brazilâs court order,Positive
closing bell nifty 25900 sensex gain 384 pt psu bank realty shine,Positive
first tick top 10 global cue todayâs trade,Positive
stock radar dr reddys mankind adani total gas aarti drug bhel hfcl vodafone focus monday,Positive
trade spotlight trade ujjivan sfb jsw energy marico thermax sbi life others monday,Positive
chartist talk sudeep shah sbi security explains bullish havells indian hotel,Positive
momentum could push nifty 50 towards 26000 pick 3 stock better return say anand rathis jigar patel,Positive
market climb fresh record high post fed outcome rupee strong,Positive
broader index new high 30 smallcaps gain 1050,Positive
bulk deal vanguard group buy share worth r 1000 crore 7 company,Positive
taking stock nifty close 25750 first time sensex jump 1360 pt realty index 3,Positive
live nifty conquers 25800 hit new high amid volatility iifl finance surge closing bell,Positive
hudco stock soar 10 heavy volume snap 5day losing streak,Positive
sell united brewery target r 1800 motilal oswal,Negative
adani energy solution share could rise 125 say global brokerage cantor,Positive
patel engineering share rise 5 nhpc contract sikkim,Positive
august prof mixed bag pm scheme even market stayed flat,Positive
buy iifl finance target r 600 motilal oswal,Positive
suzlon energy stock gain exclusion stage 1 additional surveillance measure framework,Positive
buy adani port sez target r 1850 motilal oswal,Positive
here multibagger railway wagon stock hit 5 upper circuit september 20,Positive
force motor stock zoom 10 month fourday slump,Positive
buy ltimindtree target r 7400 motilal oswal,Positive
banking stock continue struggle even rbi follows fed 50 bps rate cut path,Negative
jyothy lab share rise 2 acquiring quiclo tap laundry service industry,Positive
interglobe aviation skid 2 investecs sell downgrade predicts 15 slide,Negative
rite stock zoom 12 trade exdividend exbonus,Positive
interarch building product stock rise 10 new order worth r 633crore,Positive
material change market outlook post fed rate cut eye rbi mc poll,Negative
agri pick report september 20 2024 geojit financial service,Positive
sharda cropchem managed tide challenge,Positive
adani port stock edge mofsl reaffirms buy analyst see 31 upside,Positive
itd cementation share jump 20 upper circuit adani group acquisition news co clarifies,Positive
mankind pharma stock rise 4 investec initiate buy,Positive
weekly tactical pick midsized private bank merit look,Positive
brokerage weigh impact u court patent decision zydus life lupin share focus,Positive
slowmover ntpc built renewable energy powerhouse,Positive
phoenix mill share gain 2 post arm declares highest bidder two plot punjab,Positive
iifl finance share 11 rbi lift restriction gold loan biz,Positive
reliance infra share gain board approves r 6000 cr fundraising via preferential issue qip,Positive
ntpc stock rise board greenlights r 20832 cr investment two project,Positive
first tick top 10 global cue todayâs trade,Positive
blockbuster friday nifty 25800 sensex gain 1360 pt sector green,Positive
stock radar ntpc iifl finance tata power phoenix mill vst industry idfc first bank focus friday,Positive
trade spotlight trade zomato kotak bank dabur au sfb aditya birla capital others friday,Positive
bulk deal radhakishan damani sell 100000 share vst industry,Negative
technical view nifty hit record high fed rate cut consolidate 2530025500,Negative
gainer loser stock moved september 19,Positive
live nifty cool scaling 25500 midcaps low telecom focus closing bell,Positive
reduce sbi card target r 700 emkay global financial,Positive
nifty era early gain heavy short build relative weakness signal shortterm consolidation,Negative
aavas financier surge 3 board approves ncd issue raise r 630 crore,Positive
neogen chemical soar 13 hit new alltime high amid heavy volume,Positive
cementâs 100 billion illusion kotak say current valuation devoid logic,Negative
kotak downgrade hcl tech stock trade full valuation deal win moderate,Positive
info edge share rise 5 bofas double upgrade buy,Positive
buy tata motor target r 1175 emkay global financial,Positive
buy au small finance bank target r 830 motilal oswal,Positive
neutral procter gamble hygiene healthcare target r 17000 motilal oswal,Positive
hefty merchant banking fee ipo could success stock could well doldrums,Positive
vodafone idea indus tower share plummet 15 supreme court upholds agr ruling,Positive
buy karur vysya bank target r 270 icici security,Positive
sunteck realty soar 6 heavy volume technical breakout,Positive
hold mahanagar gas target r 1864 prabhudas lilladher,Positive
dcx system share rise 5 r 154cr order win israel,Positive
power grid stock rise jefferies issue buy 17 upside seen,Positive
max healthcare healthy pricey stock,Positive
rbi rate cut dilemma keep pace fed 50 bps slash take slow path easing,Negative
excellent wire packaging list 5 discount ipo price nse sme,Positive
tata motor stock snap 3day losing streak emkay upgrade buy,Positive
brainbees solution stock rise 7 bofa morgan stanley bullish outlook,Positive
agri pick report september 19 2024 geojit financial service,Negative
live fedâs jumbo rate cut send nifty 25500 ireda nazara tech focus opening bell,Negative
ion exchange stock soar 6 bagging contract worth r 1612 crore adani power,Positive
first tick top 10 global cue todayâs trade,Positive
macrotech developer buy ivanhoes interest three entity r 239 cr stock rise,Positive
stock dollar gain fed chart soft landing path,Positive
closing bell nifty around 25400 sensex 237 pt bank fmcg shine telecom worst hit,Negative
stock radar ireda ntpc ge td india lodha ion exchange power grid nazara focus thursday,Positive
trade spotlight trade bajaj finance nestle indian hotel natco pharma havells others thursday,Positive
cube highway trust launch block deal worth r 1600 crore thursday,Positive
bulk deal mirae asset mf buy 215 stake restaurant brand asia,Positive
diis net buy share worth r 152 crore fiis buy r 1154crore share,Positive
ireda get nod r 4500 crore fundraise via qip govt dilute 7 equity,Positive
taking stock nifty sensex slip record high ahead fed policy decision,Positive
gainer loser stock moved september 18,Positive
quantum mf file appeal nclat order approving delisting icici security,Positive
live nifty hit new high revers gain ahead fed decision big laggard closing bell,Positive
sbi card raise r 5000 crore via ncds board ok private placement security,Negative
renewable green energy stock shine government announces ambitious plan,Positive
premium valuation idbi bank factoring impending deal,Positive
dcm shriram industry pop 4 bse issue adverse observation merger plan,Positive
bajaj twin surge nearly 3 post bajaj housing stellar debut morgan stanley bullish call,Positive
buy lumax auto technology target r 682 sharekhan,Positive
buy transport corporation india target r 1400 sharekhan,Positive
buy cholamandalam investment finance company target r 1850 sharekhan,Negative
qip pipeline worth r 139 lakh crore set hit market soon,Positive
neutral interglobe aviation target r 4970 motilal oswal,Positive
buy senco gold target r 1600 emkay global financial,Positive
buy delhivery target r 600 icici security,Positive
guruspeak abhishek kadam algo trader strategy every market move,Positive
vakrangee share gain 7 tieup star health firm board consider fundraising,Positive
agri pick report september 18 2024 geojit financial service,Negative
