Text,Sentiment
CMG - Still a good low risk/reward short below this descending trend line. Core short is Bear Calls  ,Negative
COH close above 60 is extremely bullish. Watch it.,Positive
HPQ heading back over 20 imo! Funds oading!,Positive
BAC out of my swing trade for 8%.  Protecting profits.,Negative
I remain convinced you're either in Apple stock AAP for another five years... or you should have sold already. There is no middle ground.,Positive
"I am long AAP (about break-even) and EAIEST I'd sell is 2014, if no dividend hike happens. PE is under 9 right now on FY14 EPS of 56.",Positive
CSCO c'mon 21.,Positive
aapl symmetrical triangle on 5 min looking for topside breakout  ,Positive
AAP drops over 25% since Sep b/c of concerns of maybe a 10% bump in Android phone sales? #mathfail #oversell,Positive
aapl in long per earlier tweet on topside breakout of ST,Positive
AAP appears to be dragging down QQQ and SPY #stockaction,Negative
"AMZN SNTA ANA all ripping today, even X setting new all-time highs this am.",Positive
"FOM is breaking above Friday's high, a strong continuation higher is likely. Next resistance 5.37  ",Positive
VVS ong set up:   ,Positive
ook how long DE has been fixing itself. Miraculously HPQ has done what DE can't. Not! QQQ XK,Negative
AAP Going to be interesting to see the pop and squeeze on Jan 23rd if we see a positive report.,Positive
A week later these stocks are trending bullish: 5 Shale Plays for 2013 APC HES COP MO DS.B  ,Positive
"user The rare earth business fundamentals are terrible right now and MCP has all sorts of issues on top of that, compelling ?!!!",Negative
user xraystocktrader Great dividend pay and continued upside. Eager to see the next acquisitions CVX,Positive
user Krisanti that is why I had mentioned that AAP sent a reminder to NOK,Negative
drugs are back...lance is gone user: arge-cap Health is doing well. Both PFE and JNJ hit new 52-week highs this morning.,Positive
"Marc Benioff Has Swagger, But What About That  Income Statement? -  CM",Negative
"Green Weekly Triangle on SHO,....pdating  ",Negative
user: ANF triggering at the 48.70 buy price. Nice 15 min candle. Need to build on this intra-day momentum,Positive
HBI from watch list briefly went over line and puled back but volume is ok at 57% full day average  ,Positive
XXIA 5-min found it helpful to watch the 9-period EMA pink - when using gap rule to protect profits  ,Positive
AAP fills the upside gaps within an hr but takes an eternity to close the downside gaps. environment is clearly bearish,Negative
nice DE.,Positive
GW  Higher volume on the way down as the news pumps the stock up doesn't sound very bullish to me.  ,Negative
Student Nobiano  made 14% roi on a BT trade. Great for you sir!,Positive
user says you might double your money in closed end fund GSVC this year if Twitter pulls off a good IPO.  ,Positive
bac fib levels  ,Negative
F is a buy to 11 imo. That's my price target for Feb options.,Positive
Triple bottoms are rare.  This is the third time that AAP traded near 500 in last 2 months.  Still too many AAP fanboys.  AAP,Negative
here  at hedgestreettrading  we are very  on sons,Positive
HPQ my 17.50 calls Are Happy Now!,Positive
"HPQ Trading at a Multiple, oad the Freaking BOAT IMO!",Positive
Awesomeness...Monday links: swapping risks & around the financial blogosphere.  via user AAP JO GA,Positive
Going Private is the new Going Public. DE,Negative
user T3ive A looks very strong for a breakout play.,Positive
CSCO MSH! MSH! MSH!! 21.00 c'mon mon..,Positive
"etail drill-down raises questions - XY, XT, TH  -  SPX, SPY, M, GPS",Negative
F coiling so hard right now,Positive
K: ong  53.69. Trailing Stop  52.16 from 2 prior Stops of 51.25 and 51.05 -  ,Positive
"Si VFC alcanza los 153,98 , reconfirmaci?n de la tendencia que lleva la sesi?n, provechando el rally alcista de final de sesi?n....",Positive
DE 5x vol many people gonna lose their butt if there is no buyout,Negative
I think way too many people bought these dips to 500 and won't know what to do with aapl at 420....no plan equals all our mess,Positive
Jeff Bezos...having just a wonderful day....as usual....and he's thin.  Bastard.   amzn,Positive
CSCO OO!! 21.,Positive
AAP lets see if we say goodbye to 500 today.,Negative
I totally helped  beat revenues...i do and I do and I do ...but yoga bores me and western world will bore of it as well #doritos,Negative
Why can't they take AAP out of the index? It's holding everyone back! Slacker !!,Negative
"Green Weekly Triangle on SONC,....Sell Short at 10.96  ",Negative
user: DE 14.75 would fill a huge gap from 5/22/12 lol good luck with that,Negative
"ssys website investor relation page uses morningstar stats to quote mkt cap. MON Statistics are wrong. there r more shares out, way more",Negative
Shares of FOM are drying up as the accumulation continues. Daily technical indicators are bullish.  ,Positive
"ABC 123 Clearing up and out of a nice base, #Drugs PJP SPX SPY  ",Positive
"user an error on Morn data.its not updated. shares outstanding equals 41 million , not 21million. mkt cap 3.4 bil not 1.8 bil",Negative
user i stumbled upon a data discrepency for SSYS. On MON YHOO and ssys website it says 21m shares out.  really 41m shares out,Negative
SNTS Getting puts at the open. eally pleased that a decision came after hours. Allows for much better entries into positions.,Negative
SFY would start with a trade to the second line  - so starting over 33.30,Positive
A typical set up - Over 26.11  ,Positive
"INAP 717, riding 10MA, extended, based, bolly deviation1 & 10MA right under, room to upper bolly  ",Positive
AAP needs to hold here 500 or could see lower prices. Earnings within couple wks  ,Negative
"HPQ oad every dip, everyone wants in!",Positive
. user: AAP hits 491.50. Hedge fund margin (leverage) highest level since 2004. The question is how many hedge funds blew up today?,Positive
Out of my aapl 490p at 8.50 for 47% 5K!,Positive
GNC is perking up despite general market weakness. One of the better risk/reward long setups (long),Positive
user: PI nice early action... on watch   ,Positive
PO is perking up again. Very strong specialty chemicals' stock,Positive
JPM wants to go higher. XF SPY,Positive
DE outside bbands - I have to believe this pulls in a bit.   ,Negative
"BK - want to buy lower but hourly showing improvement, added to long",Positive
AAP - took 1/2 of remaining short off,Negative
tol finding support at top of the cloud   ,Positive
ZCS broke out last week & has held up well pulling back on low volume. Keep an eye for a possible breakout over .83,Positive
"CSN,....sell short at 9.38 scaling",Negative
New Blog Post - 'Momentum Monday - AAP dip buyers missing the market mojo...  ,Positive
"AMPE,...sell short at 4.48,  scaling",Negative
So to be sure. Everyone can short AAP and make money. Everyone is going to jump in when market crashes on Debt Ceiling. Perfect.,Negative
Great move by Guggenheim in hiring ex interim CEO of YHOO...    ,Positive
AMZN has a pretty strong intraday support at 269.5. I'm still in until that support breaks.,Positive
APKT back over 24 here is where it gets interesting   ,Positive
AAP when are earnings?,Positive
"Don't look now, but INT is clearing all-time highs. 10th time is the charm",Positive
user:  erased the opening drive down. still down 4 so plenty of room...let it consolidate,Positive
GOOG that's some nice and fast move off the lows.,Positive
"Again, this mkt is FAT while AAP is down 2.5% cratering thru huge psychological level, tells me this tape is strong SPY #dontbeshort",Positive
AMZN remember holding 269.5 is very important for break out continuation. Watch it. I'm long and will add on break of yesterdays high.,Positive
user: HEO beautiful flag forming...7 and 10 eventually,Positive
"DEPO sell short 6.43 scaling, next level 6.27",Negative
"AAP Study These easons Why Apple Failed, and Where It's Going  STDY",Negative
user: NVDA is a growing cash cow with a 20 P.T by EOY 2013-2014 XK AMD STX QCOM INTC #Technology  ,Positive
PATH See no real company or new drug approval value lost!!! just shorters manipulation,Positive
THC from watch list set up well yesterday and today above line - volume 46% of ave full day   ,Positive
AJ from watch list triggered a few cents yesterday and continues today - volume 41%  ,Positive
ODP - Breaking out from resistance  ,Positive
aapl 484 going to level in to an aapl trade today for a daytrade to the long side....first quarter buy now.,Positive
no reason for you to try to get cute and try aapl long.. stick with trend until it [rev] holds above 489 and 500,Negative
AN - Confirming nicely today.  Seeing a double bottom on the daily & now pushing above the 20 day moving average of 9.53.  Good action.,Positive
TAB Mikel H. Williams helped the acquisition of Viasystems Group and Dennis F. Strigl use to be COO of Verizon Com & CEO Verizon Wirless!!,Positive
"Flipping out the AAP trade for 6 points ....never got the meaty trade off.  still obviusly long, chipping away",Positive
user AAP In what world did Apple expect to order components for 65 million iPhone 5 handsets in the seasonally soft March quarter?,Positive
SWHC Obama/Biden to speak tomorrow on gun control legislation...,Positive
"user a lots, I want to cover at 3.88, so I have to complete 25 to 35K of shares AMPE",Negative
CMG Not the most exciting stock lately however upward trend still in tact; consistently pushing above the 20 day average. 297.00 now key.,Positive
eading Stocks eading & Stock Market ESIIENT on down days. Further indication ally to continue. ES_F GNC NSM EVE  DDD STI NF,Positive
APO Being accumulated.  Bounce off critical support and above the 50 day (+20.00) tells me that this now (likely) continues higher.,Positive
AAP  Just broke through a downward triangle coming off a massive head and shoulders.  This thing is toast.,Negative
AAP  The number one problem is that earnings expectations are way too high and the smart money knows this.  ,Negative
CHK squeezie   ,Positive
VVS breaking out of a flag setup. MACD cross-up. ong  ,Positive
CHK 15 min kelt/bbands fired earlier while at lunch out 1/2 the 17.50 this AM +100%   ,Positive
"HPQ and here she comes back, if DE gets bought out HPQ will ocket!",Positive
AAP dumping into the close still see this going sub 400 maybe at or after earnings report in a wk or two. GY TOWN,Negative
AAP Why do so many people believe that Apple should be commenting about stock decline b/4 EC? It's called the quiet period for a reason.,Positive
DGI DDD both acting strong ending at hod with decent volume at the end.,Positive
"ed Monthly Triangle on CYTX,....Net Profit  9,845.00 (11.01%)  ",Negative
"Green Weekly Triangle on CYTX,....Sell Short at 3.02  ",Negative
WMB might fill this gap and reverse.  ,Positive
FS - inside day - we will add to long on break above & our stop lives a little below 30 area,Positive
AAP  Probabilities rising for a test of the 2003 trendline in the ST. Mean reversion pts to 350.  ,Negative
"WFM - looks like a bear flag, we are short, will respect the flag and exit on a close above   ",Negative
BCEI Over 31.30  ,Positive
DCTH Back over 1.52 - 1.55 is you like volatility and  low priced ones   ,Positive
AMZN - still in its uptrend motion. Buy dips.  ,Positive
NFX - next resistance level is at 110  ,Positive
PCN - long setup  ,Positive
"AAP If it breaks the 5 year support line, Apple would have to depend on iTV to take it the 52wk-h  ",Negative
VG is consolidating inside a large ascending triangle w/ TP of around 3. Breakout watch over 2.55  ,Positive
"AAP trading close to point&figure trend line support. Next target is 470, at trend support.  ",Negative
BAC Yep it Will B a good day for Financial... As soon as we have volume (9.30am) it will ise P !,Positive
CIE COX CMG getting smacked off the open,Negative
SSYS postpone Q4 release from Feb to approx March 4th.,Negative
"Check out list of top performers since AAP peak, from user - Dogs like FS DE? +80% in NFX? Please.  ",Negative
NEW POST: Positive Earnings and Cost Containment Continue to Propel MS  ,Positive
GOOG and AMZN showing some early weakness.,Negative
If AMZN takes out yesterdays lows ONG better be careful.,Negative
if AAP reverses early gains QQQ will be in really big problems.,Negative
"OABC - ong  16.55. Trailing Stop  22.80 from 8 prior Stops of 21.16, 20.18, 19.00, 18.70, ... 16.74, 15.90 & 15.25  ",Positive
"TWC on the way to potential breakout over 99 channel. Tgt 100, 102. Wht u think user   ",Positive
NVDA breaking 30 min trend   ,Positive
"AAP ong position in Apple after reaching 503,38 . Maximum of the day. Stop loss 500,4 .",Positive
"CEG Too high, too fast.  This one is well due for a pull back here.  100.00 is key.",Negative
"AAP If Apple reaches 504,44 , change the Stop oss and put it in 501,60 . Also a chance to go long.",Positive
ANN - 200 period - hammering. ooks good. 4 month pattern.   ,Positive
BAC p p Step By Step... esistance 11.65-67,Positive
Dip buyers alive and well everywhere... user: Dip buyers alive and well in JPM.,Positive
NVT at 1.73 vs. OC at 1.73 I went w/ OC vol difference today but should roll over by end of wk. OC just my opinion could be wrong,Positive
"Green Weekly Triangle on GPN,...pdating  ",Negative
BAC 11.75 -12.00 Today ???,Positive
CNDO - we are in at 5.78.  ooking for 7% on this one.,Positive
NVT has the most unusual increase in #socialvolume,Positive
ong CF,Positive
"FIO ioSCale announced today at Open Compute Summit for hyperscale & spinning disk replacement, another game changer",Positive
user: Twitter followers! Are you bullish or bearish on AAP ? We want to know. Bullish and cautious! =^.^=,Positive
NVDA - IHS daily oversold   ,Positive
DECK Once again proving to be bullish (confirming) bouncing above the 20 day on increased volume.,Positive
AAP Still long.  Bulls in charge today.,Positive
user: NFX ising wedge. Normally bearish. Close below 94 confirms.   >  nice one,Negative
CSN did not catch the bottom but bought some on weird dip - hope that manipulation means good things to come,Positive
GS a solid move higher into new highs today on on strong volume.   ,Positive
NYNY moving right along. ,Positive
Student Stephanie N said  HOY GACAMOE!!! In 30 SECONDS I made 24% OI on NFX.. :-D  user TradeSmart,Negative
"ed Weekly Triangle on CSN,....ong at 6.8815  ",Positive
AAP  100 week support   ,Negative
WCG onged today swing...  ,Positive
"AAP One of the most reliable patterns I've come across, surprising its an intraday pattern. study  ",Positive
YHOO volume is BIG. Closing above 20 today will give enough fire to make a new 52 week high later this week.,Positive
HPQ opens over 18 tomorrow!,Positive
"user hey great call on HPQ, you think funds are buying now O!",Positive
BAC IMHO think will gap up on E,Positive
"HPQ I'm going to nail this Mofo! HPQ going to be in the Spotlight tonight, ooking for a eal Gapper tomorrow!",Positive
SWHC bet PM will be mid to high 9's,Positive
AAP We are long Call atio Back Spread 510/505,Positive
"user HPQ that double top will be taken out by the close, watch and learn!",Positive
G SWHC Market may be figuring out legislation on guns won't pass or be much at all. Shootings? Time to load up.,Positive
BAC ike I told 11.75 in AfterMrkt = Very Good Setp for Tmorrow ! :),Positive
"The GOOG daily chaos event is looking good green line is moving above white, just like dec9 move  ",Positive
"Green Weekly Triangle on CYTX,....pdating  ",Negative
"HPQ Autonomy was being looked at as a total loss, now they could sell it if they so wish??? HPQ in a strong ptrend here! OAD!",Positive
Apples are falling down? AAP   ,Negative
HPQ how many upgrades tomorrow assuming Autonomy is now worth something...,Positive
HPQ very nice close imo!,Positive
"FOD cover at 3.93,....net profit 1,571.00,...ugly triangle, no more with FOD",Negative
CSN My target remains at 9 before the data! More news...   ,Positive
DVA really nice break through DT line on volume today  ,Positive
SSYS exuberance is a stock generating 2million in operational cash flow for 9mos trading at 3.4 billion. or u could say a top,Negative
Big win for brokers... New Mini Options Bring Big Changes For Traders  via user SPY AAP GOOG AMZN GD,Positive
"WMt buy signal was too easy, just the math baby, and good discount too !   ",Positive
some thought my M call was too early but it screamed fashion makeover and WOW we look good now  ,Positive
JPM - a whale of a trader,Positive
Now watching BA,Negative
"CMG > keep these levels in mind: bounce to 284-288, followed by down leg to 238, a bounce to 254, and down leg to 212 / 202.",Negative
V Over 11.35  ,Positive
Disney's new Infinity game is going to be huge. My take  DIS ATVI,Positive
"BA  Now it will come back to haunt them for years, as they say,  you eap what you Sow ",Negative
"PGX no hype, spot 6.88/.90, b/out 6.91, no resist on daily til 200SMA 7.33ish, 50SMA sliding under  ",Positive
DN first hint of trendline break to the upside ?  ,Positive
"AAP Going on my confirmed theory selling came from those with inside info last 45 days, cat is now out of bag, no suckers left, bullish",Positive
AAP Another Downgrade !  Broken,Negative
BAC Bank Of America Earnings Stronger Than Expected  ,Positive
GOOG and AMZN calls are on my watch list for a day trade.  Taking a break from AAP,Positive
AIG  Going up in the premarket so somebody knows something I don't know.,Positive
BAC since the earnings did not seem to impact the price a break over 12 is in the cards.  Good longterm hold.,Positive
ANY looking good for 22.50 calls :),Positive
"user: GOOG put options at 8 year high, interesting",Negative
Trade Setup AKAM -  ,Positive
Trade Setup AA -  ,Positive
Trade Setup CF -  ,Positive
OW PT hit and now at resistance  ,Positive
SANM from watch list with volume of 9% ave full day - slightly over line   ,Positive
"HPQ should Explode today, 18 coming imo!",Positive
CEG Confirming the expectation below 98.50.  ikely to crack here.,Negative
You can't garden wall a browser AMZN AAP,Positive
American Apparel APP presents at 11:05,Positive
CSN Correction: Thermodox is a nanosoccer ball that's anti-vascular as well as anti-neoplastic!,Positive
PI daily thx for the heads up user   ,Positive
GME over 23.40 here looks good to go,Positive
"WOW, just saw the price of next weeks (E 1/22) GOOG 720c at 20!",Positive
raising stop on OW right under today's low around 35.90,Positive
"WN: ong  19.79. Trailing Stop  26.64 from 7 prior Stops of 24.39, 23.76, 20.42, 19.79, 18.09, 17.13 and 16.39 -  ",Positive
"When is Demark coming back to prop up AAP?  Yesterday a classic dead cat bounce.   Now a value stock, need go lower to find size buyers.",Negative
NG - liked it where stewie mentioned - off the 20MA. First pullbk2 same would B good 2nd entry  ,Positive
IN SOME ANA,Positive
Bookmark arry Page on why Moonshots matter ...must be why options markets exist :)  goog,Positive
SWY - now drinking Safeway store brand (Columbian whole bean) coffee out of SBX cup,Positive
Back in BK long. Nice reaction to earnings. This has the makings of a runaway/measuring type gap.,Positive
KOS kept wishing it was  first cousin.  looking good here.   ,Positive
"TIVO holding well above MA(50) 11.60 this morning, I believe it is a long setup",Positive
SMB adar weak today FAST ADTN CAM   ,Negative
ssys adds over 100 million in market cap today,Negative
user: ANA looks like a coil setting up,Positive
HOTT FNGN PIM FNF - moonshots all over,Positive
"WMT - H/S, struggling at the 200dma as well, MM target about 10 handles to that gap fil below   ",Negative
IPX biotech on watchlist with vol of 42% full day ave moving toward gap and 200-day needs more vol  ,Positive
SWY - wow doing a number on the bears this week - scaled out of a little today,Positive
AAP 900 lot offered in the eg Jan 500 Put at 1.71. -28 delta put could push the stock up or create support,Positive
WCG Everybody looking for something to buy...basement trade w/fundamentals...  ,Positive
AMZN trying to break higher  ,Positive
"user INTC Yep i had to follow that money, looks like something good is coming down the pipelines!",Positive
BA SHOT 130  75.25,Negative
"Green Weekly & Monthly Triangle on ISIS,....Sell Short at 14.14  ",Negative
GS exploded in the last hour. Green bars since 1.,Positive
"BAC has to turn and run with the SPY, watch for EOD eversal!",Positive
FAF looks good. Pivot range 24.87 to 26.11  Volume +76% today. See if close and/or get over days highs at 25.60.,Positive
"user AM is down because, who really buys cards after Christmas? ",Negative
"C Big Pop, BAC to Follow!",Positive
"WPI - inside day cracks to downside, we are already short - no add here",Negative
ZNGA There are a lot of supports here SMAs. I just bot few shares at 2.54 Falling on low volume  ,Positive
GEVO Watch for a break above 2.08 to test the recent highs at 2.43  ,Positive
ssys Voyant Advisors negative report. sees high risk in earnings. An earnings risk 9 on a scale 1 to10,Negative
"ssys on Nov. 13 report Piper Jaffray put new price target in report at 76, Dougherty in December's report put tgt at 67",Negative
user: : BAC Consolidation in progress...    yep its consolidating  to 10>  Should go to Emotions Anonymous  Take it to hard !,Positive
ZION Cup & Handle pattern. The stock would confirm the pattern by breaking up through the 22.8  ,Positive
GEVO Broke out of a bull flag pattern to the upside today & the move was accompanied by high volume  ,Positive
Added to holdings in AAP BID FB in AH. Also holding DDD. Down to 25% cash. ,Positive
"BAC Hawken has a price target of 11.50, estimating the company will earn 95 cents in 2013,",Positive
Nice one from user Marketshare or Margin....the AAP dilemma... ,Positive
"DPZ nice intraday upward reversal adding to the bull flag, keep on watch for move over 46  ",Positive
"TEX another nice bull flag, watch for the MACD to signal next breakout  ",Positive
"WH also a strong day today, looks ready for the next leg up  ",Positive
"GMC keeping a nice consolidation, should make a big move soon, MACD & SI turning up  ",Positive
"AJ really strong up here, but caution overbought SI and declining MACD  ",Positive
"CEN nice gap support, looks ready to head higher  ",Positive
"WYNN nice bullish consolidation, could pop soon  ",Positive
"VS similar pattern to WYNN, bull flag building, keep on watch  ",Positive
A in a clear downtrend with no sign of relief  ,Negative
" also not very healthy, fell back below DT line after breaking it, SI weak, MACD turning down  ",Negative
"NFX hammer on the breakout back-test, watch tomorrow for a bounce  ",Positive
INTC Anyone have any thoughts on how late algo trading and option OI will affect the stock price tomorrow? My guess 20.50 to 21.50 at close,Positive
Need body parts? IHI SYK MDT ZMH user nice call BSX  ,Positive
"AAP QIH The cheapest, most transparent China play is Apple. I avoid SOEs... management decisions based on guanxi and party interests.",Positive
"user a36tran user as I said many times AAP big money is shifting towards this stock - that what I did 11,12,13,14",Positive
OW Breaking out to a new 52 week high.  ,Positive
G has been quiet lately; good to get in before the pop,Positive
IF  Over 19.60  ,Positive
"Intel earnings - capex & mobile matter not EPS.  I mean, is the PC biz decline news to you? INTC HPQ AAP DE AMH",Positive
NEW Blog Post- Watchlist 01/17.  F KBH GPX SSQ SBX CSOD HD WT OCN EBAY TEX I CHK ITG S  ,Positive
BAC user Hope for a consolidation at this level if it drop it will stop to 11 support. Nxt 4-5 day s to come back to12 IMHO.,Positive
Hot osers FNS TSX INTC AMN JDS,Negative
"GEO nice pop this morning, moving stop up to breakeven  ",Positive
long ACI 7.39,Positive
CEE - to be clear - no chasing - entered Monday ong  ,Positive
"ADBE continues to weaken, not following market. Short on break under 37.60. user  ",Negative
"V so far found support on the ceiling of the old channel, will look good if it holds above it  ",Positive
"user: ADBE continues to weaken, not following market. Short on break under 37.60. user  ",Negative
"SHW - ong  131.42. Trailing Stop  140.12 from 4 Stops of 138.36, 125.06, 122.79 and 118.70 -  ",Positive
"BAC fully engaged within a secondary reaction off of its 12.43 high on 1/07, and points to 10.80/50 target zone",Negative
BAC still see this getting back to 10.50 possibly lower when the overall market pulls back next month.,Negative
"user: G two weeks away from its earning, ready to rocket within two days",Positive
AAP > the 497 area will likely fail.,Negative
WH gap filled,Positive
Monday AAP said 500 pin - still confident of close to a  500 pin for - take a look at this crazy OI spike.  ,Positive
STT strong bounce today continues to make new highs - been sharing this one for days now. Nice run   ,Positive
CSN Another SA article for the ONGS...  ,Positive
AAP -   percolating? Perhaps a push above 500 soon...,Negative
"SWY - corn on a run, bears getting the cob  SWY",Positive
"AAP Wall St. most hated stock currently. Careful short, anything short of disaster will be viewed positively. Bit risky long. #MainEvent",Positive
FIO: Insightful analysis on how Fusion-io is avoiding commoditization (via user):  ,Positive
"MCP.. sorry kids but Nissan, Siemens = NOT getting in the mining business, but have some fun buying whatever somebody is trying to unload..",Negative
"CSN I know it's a crazy thought, but WHAT IF this goes green by EOD?",Positive
SCHW - breaks out of flag,Positive
GS  Ask is being pummeled...managers cannot miss this and afraid they are missing the train...,Positive
WH nice rounded reversal pattern intraday since the gap fill,Positive
"ES_F spikes off bottom. eading Stocks comatose but still leading. WAKE P!! OCN SBGI NSM FIVE GNC Makes you say, hmmmm?!?!",Positive
AMAT reached very high overbought conditions. I will wait for a pullback to enter long  ,Positive
"ACI Option trader buys 20k of the Feb 7P on a hard offer vs. OI of only 1,400. Earnings are Feb 5th BMO. Could be a hedge against long stk",Negative
ZION Stalking. Cup & Handle potential breakout w/ anemic volume on Handle. Breakout candidate  ,Positive
VFC - we are short this one again - bulls need to hold the support it is in now or the break could be significant,Negative
BAC anyone think this might slush and fall below 11 today?,Negative
Big boy stock GE starting to build a very constructive right side of a current 14-week cup base.,Positive
AAP This possibility exists   ,Positive
"egarding , going into KSS WMT TGT TJX OSS you see so many copycat clothing items, reminds me of COX 70+ ----> Sub 1",Negative
"DNKN not seeing a lot of talk about this one, but put in another nice day in this steady uptrend  ",Positive
"Green Weekly Triangle on ESSX,....pdating  ",Negative
"AppleSoft: No, It Was Not Different This Time -  AAP",Negative
"Green Weekly Triangle on HBAN,...pdating  ",Negative
ltra base? TEK  #ltratech Step it up! #Stepper  ,Positive
in dec GE long in the IA's under 20.00 stock had plague now world loves it 22+ tells me we headed down now just as then knew we heading up,Negative
AN - eversal confirmed closing nicely above the 20 day of 9.47  Also confirming today: IMM CHK  Others I like:   ,Positive
Wk #3 #13for2013 portfolio: DDD DNKN FT INVN KOS NKD MOV NTSP AX SCCO SCA SSYS V   ,Positive
INVN reports next week & is 3rd with a 13.5% gain this year #13for2013 (watch cup w/ handle - wkly)  ,Positive
"NTSP is the laggard in the #13for2013 portfolio, down 2.03% for the year (closing in on 50-d ma)   ",Positive
ACHC I might be crazy but this stock is rising. ow volume however.Price matters first.,Positive
Short term bearish on CYH as it now goes parabolic above the upper band of it's uptrend channel.  ,Negative
CST watch for inverse h+s. >20days2cover   ,Positive
Watching HOV for a bounce to the upside. It appeared to touch 61.8% Fib at last Friday's close.  ,Positive
BONT a gap up like this may cuz it to go little higher to test 14 but we retest 13.00 for sure,Negative
FIE - Decending Triangle w/ possible bear flag last week. Open gap at 36.38.   ,Negative
DGI toppy   ,Negative
BAC Bank Of America Will ikely Double Again Within 3 Years  These stocks are in my IA.,Positive
SHD - Appearance of a 180 Bullish Cup and Handle. Someone has put on a SPD.  ,Positive
"Tight consolidation above 9EMA is quite bullish, so I'm stalking SII for a potential long entry  ",Positive
EW Into gap Over 95.00  ,Positive
FOE   Over 4.60   ,Positive
PAB has resistance from June to Sept but Over 6.21 to start a trade   ,Positive
xray   Over 41.00  ,Positive
CNK - potential head and shoulders leading into BOJ  bit.ly/XStZaG    ,Negative
ooking for this to catch up to other Nat. Gas producers like NG Bought Feb. 18 calls CHK   ,Positive
SCSS usually likes to make a run to 30-32 when at these levels.  Bought Feb. 30 calls for swing  ,Positive
Friday's high quality breakouts still within range of their pivot points: TV TMI OC WT MDZ FEIC HA SB OTEX,Positive
AEO TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.  ,Positive
CGX TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.  ,Positive
CVT TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.  ,Positive
GDI TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.  ,Positive
SM TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.  ,Positive
"the only surprise is upside user: With more negative AAP news, it feels like a short term bottom is coming.  ",Positive
BAC Bank Of America Is The Best Bank Stock On The Dow  ,Positive
DECK this sucker moves both ways this time i like it long  ,Positive
ZION when banks pull bank this becomes a teenager  ,Negative
iberty Media reports increased stake of 50.25% in SII Breakout watch over 3.19,Positive
GOOG - has potential for slightest disappoint stock could gap 50 points down - did it - Q4 earnings of 10.58 per share,Negative
GOOG november repeat 760 to 660 - good put spec call here,Negative
"DDD seems over bought, everyone raising PT, ATH, etc.  eminds me of aapl at 700... At the same time I want to buy.",Positive
Bullish QIH AAP IBM,Positive
GOOG glasses will definitely give AAP a run for their money...  ,Positive
GS you might get to start a position at 140 then add more at 138 if we get there.,Positive
"Sorry guys, but Netflix bulls need to hit the pause button. NFX  ",Negative
NG from watch list sneaking over line on volume of 4% ave full day   ,Positive
OPEN table over line form watch list - vol just 7% of ave full day   ,Positive
Buying back the goog i sold in 730's on the stream a few weeks ago,Positive
EN SHOT 250  41.70,Negative
"VVTV - We are in at 2.55 per share.  This looks like a good one, its moving up already - we will sell at a 7% gain #stocks #insidertrading",Positive
CO pointed out this wknd - huge Outside Day - Bearish Engulf took out all of Jan's gains. Watch.  ,Negative
O - I am starting to see Blu everywhere. very small portion of business but holiday sales may have been BTE.,Positive
ANF - SI overbought small position puts.  ,Negative
ooking to add to BJI shrt/puts today - EAT,Negative
INTC BY 500  21.10 STOP 19.00,Positive
XF moving with VOME again today and at resistance. Close above 17.20 and I'm grabbing some GS JPM for swing trade.,Positive
Further proof BBY is trying to tank it on purpose to go private on the cheap: The great gift card giveaway 2013.  ,Negative
KO made with sugar is sold at local COST. Consumers prefer that in CA.  user-Cola should make shift nationwide. I'm bullish SB_F SPY,Positive
"VA - ong  43.07. Trailing Stop  60.12 from 12 Stops of 58.98, 54.53, 52.45, 48.05, 47.32, ... 41.32 & 39.57 -  ",Positive
"I was looking at CS for a potential bounce play w/ AAP earnings, but imo AAP won't do 13 eps even if it does guidance will be key",Negative
D pays a nice dividend tomorrow and holding up well. Would like to see it close above 10 longer term looks good to 14 imho,Positive
"DDD - ong  27.95. Trailing Stop  46.44 from 9 prior Stops of 45.23, 42.35, 41.70, 39.03, ... 25.44 and 22.93 -  ",Positive
WFM looking really good here breaking this DT line on good volume so far  ,Positive
user On any significant Vol over 11.30 in BAC it's a good Entry IMHO.,Positive
"DDD strong winner, buy right and sit tight. Darvas would said hold em until they stop moving.",Positive
"A nder Armour option trader buys 3,200 calls before earnings betting on 6% up move  ",Positive
BAC run don't walk.,Negative
MCP I like the company but no...,Negative
KB Homes KBH price targets  spy,Positive
DN buying this flag breakout; entry 6.49 stop 5.98  ,Positive
SANW Piper puts 14 tgt on it today. They did recent offering. Would love to know what they said. I think will be a quiet yr pricewise,Positive
PW making a new 52 week hight today on good volume,Positive
KBH breaking out,Positive
"In about 20 minutes, some yutz in his 70's  will leak GOOG earnings at some firm that should not exist deep in the bowels of wall street",Positive
KBH Big move today. At resistance  ,Positive
"When GOOG beats estimates, stock averages 2.7% gain. When it misses, shares fall 7.9%  via user",Positive
CHK just ripping  ,Positive
"I was big fan of AMZN but daily and weekly very heavy now, take your gains,selling calls wont be ok  ",Negative
